date,text
2022-02-24 07:04:23,️ В Украине ввели военное положение. Зеленский обратился к народу.
2022-02-24 07:05:59,"В ""Л/ДНР"" заявили, что начинают штурм города Счастья."
2022-02-24 07:24:02,"️Волонтер и экс-советник Минобороны Юрий Бирюков написал: ""Так. Шквал разрозненной информации, поэтому даю только то, что получил подтверждение от военных...️ Удары по военным аэродромам: Чугуев, Краматорск, Озерное, Кульбакино, Васильков. ️Удары по базам хранения и арсеналам. ️ Морской десант в Одессе - нет, такого не подтверждают. Танковые колонны на въезде в Харьков/Сумы/Чернигов/Киев - нет , такого не подтверждают. Это не означает, что это не может быть - но на сейчас это не подтверждают...️Плотно по линии фронта... хотя теперь уж фронт везде... РСЗО. По знакомым бригадам - потерь нет,  просто густой обстрел, но бестолковый. Я понимаю в каком вы сейчас состоянии, но. ️Наши ПВО работают (как могут и чем могут). Многие ""взрывы"" которые вы слышали - это пуски. Наши военные работают. И на фронте тоже."
2022-02-24 07:26:44,"️В сети пишут, что предположительно горит аэропорт Херсона."
2022-02-24 07:29:19,Аэропорт Ивано-Франковска.
2022-02-24 07:29:58,️ Беларусь атакует Украину — погранслужба Украины.
2022-02-24 07:34:50,Военный аэропорт в Чугуеве.
2022-02-24 07:37:05,"В так называемой ""ЛНР"" заявили, что в течении 3-х дней будут вести наступательные действия."
2022-02-24 07:40:08,Очереди на заправках под Киевом.
2022-02-24 07:40:37,️Ситуация контролируемая – министр обороны Резников.
2022-02-24 07:41:15,Карта: где в Украине сообщают о звуках взрывов.
2022-02-24 07:41:53,️Через КПВВ Чонгар идет колонна техники из Крыма.
2022-02-24 07:56:18,Удар по аэродрому в Луцке.
2022-02-24 07:56:59,CNN подтверждает заявление Госпогранслужбы - СМИ опубликовало видео пересечения бронетехники со стороны украинско-белорусской границы. В агрессии участвуют войска РБ.
2022-02-24 07:57:34,Во Львове тоже воздушная тревога.
2022-02-24 07:57:45,"️ Не снимайте, не выкладывайте в соцсети и не распространяйте видео о передвижении наших войск по территории Украины. Не помогайте врагу. Максимальный репост."
2022-02-24 07:58:19,МВД Украины сообщило о первых двух потерянных населенных пунктах - села Меловое и Городище в Луганской области.
2022-02-24 08:03:14,️В зоне ООС сбили 5 российских самолетов и вертолет .
2022-02-24 08:05:11,В ГСЧС Украины утверждают о подрыве телебашни в Луцке и пожарах на военных складах в Днепропетровской области.
2022-02-24 08:09:13,"️ Сотрудник украинской администрации заявил Wall Street Journal, что погибли сотни украинских военнослужащих ."
2022-02-24 08:09:29,В метро Киева всех пускают бесплатно. Теперь они служат в том числе бомбоубежищем.
2022-02-24 08:11:39,"Кадры из Полтавской области, город Миргород."
2022-02-24 08:14:20,️Обращение мэра Киева Кличко к жителям столицы.
2022-02-24 08:15:50,ЕС призвал Россию немедленно прекратить военную операцию против Украины...Хорошая шутка.
2022-02-24 08:18:53,"Спикер Стефанчук запретил депутатам выезжать из Киева: ""Кто уехал – тот предатель"" — сказал он."
