date,text
2022-03-15 08:04:38,"Welcome to The Washington Post’s Telegram channel. We’ll share live news coverage from the journalists we have in and around Ukraine along with reporting from our newsrooms in the U.S., London and Seoul. You’ll get firsthand, expert reporting 24/7 from the war in Ukraine, including the latest military movements, exclusive photography and on-the-ground footage...The Post’s coverage is free to access in Ukraine and Russia. All our updates can be found at  ."
2022-03-15 09:18:58,"Here is the latest from Ukraine: - Fierce fighting continues across Ukraine, with Russian shells bombarding an apartment building in the capital, Kyiv, and shelling on at least three locations in Kharkiv on Monday night...- Talks between Ukraine and Russia are set to resume today, after Ukrainian negotiator and presidential adviser Mykhailo Podolyak said on Twitter that the negotiations were on a “technical pause.”..- U.S. national security adviser Jake Sullivan issued a direct warning to his Chinese counterpart about the potential consequences of any assistance that China might provide Russia in its war with Ukraine, officials said, after Russia's recent request for military equipment and aid...- A woman burst onto the set of Russian state TV’s flagship evening news program Monday, chanting “stop the war” and denouncing government “propaganda” — a striking moment of public protest as the Kremlin cracks down on any criticism of its invasion in Ukraine. More live updates here"
2022-03-15 11:56:37,"In embattled Mariupol, glimpses of devastation and misery emerge In the more than two weeks that it has been cut off from the outside world, Mariupol, the southern Ukrainian port city, has become synonymous with the horror of the Russian invasion...It is a place of overflowing morgues, newly dug mass graves and bodies in some cases buried under rubble or left in the streets where they fell...On Monday a convoy of more than 160 cars escaped Mariupol, the city council said on its Telegram channel. It was the first successful attempt to set up a “humanitarian corridor” out of the city, which at one time was home to as many as 400,000 people. But much needed aid was blocked Monday from getting in by Russian forces, Ukrainian officials said. Read the full story"
2022-03-15 14:18:50,"Kyiv announces curfew as more residential blocks hit in Russian strikes A suspected Russian missile attack on an apartment building in the Ukrainian capital early Tuesday killed at least four people and sparked a frenzied effort to rescue residents, prompting Kyiv Mayor Vitali Klitschko to announce a curfew in what he called a “difficult and dangerous moment.”..The strike, on a tall building in the Sviatoshynskyi district shortly before 4 a.m., was one of at least three suspected Russian attacks on residential neighborhoods in Kyiv in the past two days...Fires burned for a few hours after the suspected strike, as dozens of firefighters battled the flames and used cranes to try to extract residents trapped inside. Locals said there were roughly 128 apartments in the building and that about half the occupants had fled before Tuesday’s attack. Read the full story"
2022-03-16 00:42:41,"Our video highlights and what we know at the end of Day 20 of the war in Ukraine: - The prime ministers of Poland, Slovenia and the Czech Republic traveled by train to the besieged Ukrainian capital to meet with President Zelensky today. During the dramatic visit, they said Ukraine had the European Union’s “unequivocal support” and offered financial assistance. ..- Negotiations between Russia and Ukraine will continue Wednesday, said Mykhailo Podolyak, an adviser to Zelensky. He said there are “fundamental contradictions” but also “room for compromise.”..- Reports suggest Moscow may seek to stage a “referendum” in Kherson in a bid to create another “breakaway republic” similar to separatist areas in eastern Ukraine, according to British defense intelligence officials. Read all our coverage here."
2022-03-16 08:32:38,Here is the status of Ukrainian cities under Russian attack as of March 15. Read more details here.
2022-03-16 09:30:26,"Here is the latest from Ukraine: - President Zelensky is expected to renew his plea for air support to protect the skies over Ukraine and push back against Russia's attacks in a virtual speech to Congress today. In a late-night video address, he welcomed a U.S. government bill that will provide $13.6 billion in new aid to Ukraine, saying it is ""the first step toward the full restoration of Ukraine.""..- U.S. President Biden will travel to Europe next week for a NATO summit on the Russian invasion. Top officials in the Czech Republic, Poland and Slovenia made a dramatic visit to Kyiv on Tuesday to demonstrate support for Ukraine...- President Putin said negotiations with Ukraine are at an impasse, saying that Kyiv “is not showing a serious commitment to finding mutually acceptable solutions.” Zelensky, meanwhile, said negotiations with the Kremlin are “more realistic, but time is still needed for the decisions to be in the interests of Ukraine.” Talks will continue Wednesday. More live updates here."
2022-03-16 11:01:19,"In Ukraine’s Carpathian Mountains, tens of thousands find refuge from war About the only place of true peace and refuge in Ukraine these days is the one nature built — the high hills of the eastern Carpathians, thick with strands of silver fir dusted with fresh snow, dotted with villages now ballooning in size as tens of thousands flee here...“Since the war began, I slept with my shoes and jacket on because we might need to run at any moment,” said Hanna Melnyk, 69, who fled from city to city before making it here. “Last night, I wore pajamas. I never thought putting on pajamas would make me cry with happiness.”..Unlike the millions who have fled to western Ukrainian cities, where nights are still interrupted by hours of air raid sirens, and where the crush of new people is a constant reminder of the merciless destruction they left behind, those who have fled to the Carpathians described a more genuine sense of being protected. Read the full story here."
2022-03-16 13:25:31,Ukrainian President Volodymyr Zelensky will deliver a virtual address to members of the U.S. Congress at 2pm Eastern European Standard Time/9am Eastern Time. You can watch his speech live and follow our full coverage here.
2022-03-16 16:16:58,"Ukraine president appeals for no-fly zone, more sanctions on Russia in address to U.S. Congress President Volodymyr Zelensky renewed his plea for air support to protect the skies over Ukraine and push back against Russia’s attacks during a virtual speech to U.S. lawmakers Wednesday, as suspected Russian munitions struck another apartment building in Kyiv, the Ukrainian capital, in an attack that has become part of a daily pattern...“Ukraine is grateful to the United States for its overwhelming support,” he said. “I call on you to do more.”..The Biden administration has resisted Kyiv’s call to establish a no-fly zone in Ukraine, a measure that has little bipartisan support in Congress and one that U.S. officials fear could inflame tensions and risk a broader global conflict with nuclear-armed Russia. More live updates here"
