Topic,Count,Name
-1,75712,-1_россии_украины_украине_украина
0,1656,0_эвакуации_эвакуация_гуманитарных_коридоров
1,1546,1_самолетов_рейсы_полеты_авиакомпаний
2,1545,2_переговорах_мединский_украиной_россией
3,1326,3_пожар_пожара_горит_нефтебазе
4,1285,4_путин_путина_путину_владимир
5,1079,5_ранены_погибших_пострадали_мирных
6,1027,6_дипломатов_посольства_посольство_посол
7,1005,7_банк_mastercard_банки_банков
8,965,8_беларуси_белоруссии_беларусь_белорусские
9,816,9_митинг_протеста_задержали_поддержку
10,802,10_войска_российские_разведка_северодонецка
11,782,11_магазины_компании_samsung_магазинов
12,752,12_млрд_украине_млн_военной
13,736,13_потери_погибших_потерь_потерях
14,718,14_евросоюз_еврокомиссии_украины_еврокомиссия
15,702,15_санкции_санкций_сербии_россии
16,691,16_директоров_должность_отставку_председателя
17,691,17_погиб_умер_генерал_смерти
18,684,18_instagram_facebook_twitter_экстремистской
19,677,19_китай_китая_пекин_цзиньпин
20,676,20_соревнованиях_соревнований_чемпионата_турнирах
21,653,21_лучший_фильм_дюна_лучшая
22,634,22_санкции_санкций_белый_санкционный
23,629,23_школах_школы_школ_учителей
24,620,24_коронавируса_коронавирус_бразилия_индонезия
25,608,25_подписаться_новость_новости_предложить
26,567,26_воду_вода_электричества_электроснабжение
27,553,27_космической_космонавты_космонавт_спутников
28,543,28_турция_турции_переговоры_путиным
29,539,29_беженцев_украинцев_покинули_украины
30,537,30_курской_террористической_опасности_белгородской
31,530,31_альянса_столтенберг_альянс_украине
32,529,32_himars_украине_украину_истребители
33,528,33_воздушная_тревога_область_днепропетровская
34,527,34_рублей_млрд_бюджета_правительство
35,525,35_нефти_нефть_импорт_российской
36,518,36_продовольствия_продовольственной_пшеницы_зерном
37,469,37_чернобыльской_радиации_станции_атомной
38,463,38_санкций_санкции_евросоюз_евросоюза
39,460,39_погибших_захоронения_захоронение_могилу
40,451,40_млрд_долларов_евро_украине
41,433,41_свободы_ответственности_законопроект_штраф
42,427,42_бастрыкин_расследовать_уголовное_украинскими
43,423,43_германии_германия_оружия_украине
44,413,44_уничтожили_танк_бронированной_оккупантов
45,410,45_детей_погибли_ребенка_донецкой
46,408,46_автомобилей_автоваз_volkswagen_автомобили
47,404,47_вещание_телеканал_телеканалов_телеканала
48,402,48_оккупантов_матерям_говорит_оккупанты
49,398,49_яхту_яхты_яхта_фиджи
50,384,50_mcdonald_ресторанов_макдоналдс_рестораны
51,382,51_руб_мосбирже_евро_доллара
52,381,52_поезда_поезд_метро_поездов
53,368,53_роскомнадзор_vpn_доступ_сайтов
54,367,54_russian_ukrainian_ukraine_luhansk
55,366,55_великобритании_великобритания_британия_министр
56,365,56_хакеры_ddos_кибератак_хакеров
57,365,57_путиным_путин_владимиром_телефону
58,364,58_мост_моста_мосту_реку
59,357,59_корабль_флота_черноморского_судно
60,354,60_youtube_google_роскомнадзор_каналов
61,351,61_обстреляли_координации_огня_украинские
62,346,62_уничтожены_ракетами_минобороны_военной
63,343,63_заражения_выздоровели_коронавирусом_случаев
64,340,64_газпром_газа_газпрома_газ
65,338,65_украина_подписаться_украинцев_украине
66,335,66_резниченко_ракетный_днепропетровской_ракета
67,326,67_евро_руб_доллара_мосбирже
68,326,68_пленными_пленных_военнопленных_военнопленными
69,325,69_взрывы_взрывах_слышны_взрыв
70,325,70_православной_московского_патриарха_кирилл
71,322,71_европы_заседание_организации_членства
72,319,72_заявил_россия_стран_украине
73,316,73_посол_терроризма_дипломатов_посольство
74,313,74_памятник_советским_памятника_демонтировали
75,311,75_лавровым_анталье_иностранных_встреча
76,310,76_путин_путина_кремле_встречи
77,310,77_направлении_противник_враг_донецком
78,309,78_закончится_конца_недели_украине
79,308,79_израиля_израиль_израиле_израильские
